Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Data Scientist, Creator Business Analysis",$108K - $208K (Glassdoor est.),"Data, Research & Insights
Data Science
Location
New York or Remote Americas
Job type
Permanent
As one of the teams within Marketplace, Creator Business Analysis partners closely with R&D. We are responsible for ensuring our teams build the highest value products to deliver back towards the music industry. We do this by evaluating new and emerging business ideas, business models and pricing strategies. As a Data Scientist on our team, you will help analyze economic, product and business problems using analytics. You will tackle complex problems in order to develop a behavioral understanding of customer needs, as well as to forecast and predict the value that our tools deliver. In doing so, you will have a lasting impact on bringing Spotify’s marketplace vision to life.",4.1,"Spotify
4.1","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data & Applied Scientist,$94K - $182K (Glassdoor est.),"Join us as we work towards Microsoft’s mission of empowering every person and every organization on the planet to achieve more. The Modern Life Experiences (MLX) team is expanding its global footprint and we need your help in bringing consumer products directly to the people who need them. We are agile team at Microsoft with the goal of developing consumer features for the modern workforce across surfaces and platforms. We work collaboratively and iterate quickly. We keep alive an inherently startup-like, risk-taking culture but we also take the responsibility seriously to carry one of the world's most recognizable software brand names - Microsoft. Our mission is to build customer-driven experiences that transform personal data into personal value and empower modern achievers and families to accomplish what matters most. By creating easy-to-use mobile and web experiences, we are helping individuals and families gain peace of mind, to ultimately allow them to focus on what’s most important: each other.

We are looking for a Data and Applied Scientist who is just as passionate about applying statistics and machine learning to understanding our customers behavior to shape product roadmaps as you are using statistical and machine learning techniques to create user facing AI features. You’ll sit right at the junction of product, marketing, and engineering to help us understand our users and create intelligent features. You need to be ok working across the whole ML life cycle. This is a great opportunity to apply statistical, more advanced data science techniques and engineering to contribute to our product growth and visible impact on our business and users",4.4,"Microsoft
4.4","San Francisco, CA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist I,$88K - $148K (Glassdoor est.),"Company Overview
WarnerMedia is a powerful portfolio of iconic entertainment, news, and sports brands. We bring people, technology, and the world’s best storytellers together to drive culture and meaningful connection. We believe the enduring power of stories can open our eyes to the world, to each other, and to new and different perspectives.
Join us. Shape your story here.
The Job

Reporting to the Sr. Manager, Data Science this role will help to develop the predictive insights and prescriptive capabilities behind CNN’s emerging products, transforming first- and third- party data into quantitative findings, visualizations, and automation. Core areas of focus and outcomes include:





Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.",3.9,"WarnerMedia
3.9","New York, NY",10000+ Employees,2003,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Data Scientist,$78K - $170K (Glassdoor est.),"Description - Internal
Our Story
Xandr is a technology platform powering one of the largest global Advanced TV and Video advertising marketplaces in the industry. We scale our business as WarnerMedia people who independently build the Xandr platform and brand. For more than a decade, our data insights, premium content, powerful technology, and scaled direct-to-consumer distribution have given us a competitive edge — leading us to improving advertising for all brands, publishers, and consumers.

How do we do this? With talented, passionate people like you! We bring together people from diverse backgrounds and give them an opportunity to bring their ideas to life. Join our community to Make Advertising Better!",3.7,"AT&T
3.7","New York, NY",10000+ Employees,1983,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Junior Data Scientist,$58K - $112K (Glassdoor est.),"The Automotive Analytics team at IHS Markit is looking for a Junior Data Scientist who will support our initiatives to generate actionable insights and build new products from our rich internal data sets. The ideal candidate should have critical thinking skills, a quantitative background and strong experience exploring data sets, a high competency using a variety of analytics tools to build machine learning models. They must have a proven ability to drive business results with data-driven insights and should be comfortable working with a wide range of stakeholders and functional teams.
Responsibilities:
Work with stakeholders throughout the organization to build proof of concepts for new business solutions.
Efficiently explore new data sources and assess data gathering techniques.",4.1,"IHS Markit
4.1","Southfield, MI",10000+ Employees,2016,Company - Public,Consulting,Business Services,$2 to $5 billion (USD)
Data Science New Graduate,$80K - $176K (Glassdoor est.),"Hewlett Packard Enterprise advances the way people live and work. We bring together the brightest minds to create breakthrough technology solutions, helping our customers make their mark on the world.
At HPE we believe in bold moves, the power of “Yes we can”, and being a force for good. Our work thrives on differences, fueling creativity to give our customers all they deserve. But our work is far from over. In fact, we continuously push for better. We empower our team members to make an impact on our business and in the world while fostering a culture that is unconditionally inclusive. Whether you’re looking for an internship or to start your professional career, at HPE you’ll be able to create and collaborate on projects that challenge and inspire you.
Sound like you? Apply today and join one of the most impactful tech companies in the world!
How you’ll make your mark
1101130",4.0,"Hewlett Packard Enterprise
4.0","Durham, NC",10000+ Employees,2015,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$48K - $54K,"Data Scientist Position - Maryland Food Bank; Salary: $48,000 to $54,000 Closes: Sep 20, 2021;
Please submit a cover letter and resume to resumes@mdfoodbank.org for consideration.
Maryland Food Bank seeks to hire a junior-level data scientist who will provide analytic expertise to help further our goal of ending hunger in Maryland.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Program evaluation. This role will help design, execute, analyze, and present findings from internal studies to improve services and alleviate the causes of hunger for Marylanders. Working closely with a small team this person will design data collection plans using multiple sources, clean and manage both quantitative and qualitative data, perform statistical analyses to test hypotheses and develop compelling visual presentations of findings. These programs are guided by logic models that specify necessary inputs, activities, and measurable outputs connected by theoretically sound program plans; the person in this position will analyze clients outcomes and conduct needs assessments using data dashboards, Tableau, ArcGIS, Excel, and other applications suitable to documenting impact
. This person will work on projects, both internal and externally focused, that will help build a culture of decision-making based on rigorous data collection and analysis. This will include participating in a cross-enterprise data working group, providing analytic support for internal decision-making, and preparing presentations and papers for external distribution.",-1,EvalCommunity,"Baltimore, MD",-1,-1,-1,-1,-1,-1
Junior Data Scientist,$66K - $115K (Glassdoor est.),"We are Farmers!
Join a team of diverse professionals at Farmers to acquire skills on the job and apply your learned knowledge to future roles at Farmers. Farmers Insurance also offers extensive training opportunities through the award winning University of Farmers named by Training magazine amongst top 10 corporate training units in the world.
Job Summary
Part of a group of data scientists applying state of the art analytics and ETL to Distribution, Life and Financial Services challenges.
Leverages customer information such as macro and micro (transactional) behavioral data to influence strategic business decisions while using complex, innovative analytics, multi-variate models, machine learning and data mining technologies.",3.7,"Farmers Insurance Group
3.7","Woodland Hills, CA",10000+ Employees,1928,Subsidiary or Business Segment,Insurance Carriers,Insurance,$1 to $2 billion (USD)
"Data Scientist, Accounting",$71K - $135K (Glassdoor est.),"Business Support & Operations
Accounting
The Royalties Analytics & Data team at Spotify provides support to Finance & Accounting teams through data insights, automation solutions, and ad-hoc reporting. We help to communicate technical and business requirements between internal and external stakeholders and serve as subject matter experts for accounting data.
Location
New York
Job type
Permanent",4.1,"Spotify
4.1","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$79K - $153K (Glassdoor est.),"Job Summary:
Supporting the Disney Advertising Sales organization within our new Disney Media & Entertainment Distribution (DMED) segment, the Audience Modeling and Data Science team are subject matter experts in each of the following areas:
Creating and optimizing audience segmentation models that enable us to target specific audiences based on brand affinities, app behavior, and video viewership among other things
Examining other ways to expand audience sizes and depth through look-alike modeling of behaviors within our own network of digital properties
Analyzing the performance of models in real-world campaigns and collaborating with the audience modeling team to optimize and refine the models
We’re looking for an intellectually curious, business-savvy, analytical powerhouse to join The Walt Disney Company’s DMED segment as a data scientist on the ad sales team. In this role, you will be responsible for driving improvements across DMED’s portfolio of offerings by using data. Working collaboratively with cross-functional teams, you will develop, drive, and oversee new strategies to ensure the growth of the business and the overall bottom line.


B.A. or B.S. (MS, MBA, or PhD a plus) in a quantitative field (Math/Statistics, CS, Engineering, Business, Economics, experimental science, or similar)
DISNEYADSALES",4.0,"Disney Media & Entertainment Distribution
4.0","New York, NY",10000+ Employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$65K - $75K,"Job role: Data Scientist / Data Analyst
Note: Don't apply for C2C. only W2 positions
We are providing free training and placement based on client requirements.
Technologies: Data Science, Data Analytics, Tableau, python and Java
Benefits:
H1b sponsorship
Free Accommodation
Free Training
Relocation Assistance.",-1,Dataquestcorp,"Branchburg, NJ",-1,-1,-1,-1,-1,-1
Data Scientist,$96K - $173K (Glassdoor est.),"The Team:
Bloomberg's Management Reporting & Analysis' (MR&A) Data Science Solutions Team is entrusted to continually improve the ability to make data-driven decisions for Bloomberg's senior management, Product and Sales teams. Our team arms Sales and other client-facing teams with data to optimize their prospecting and retention efforts. We enable Product teams to build better products by providing them with deep insights into customer behavior and helping them prototype and develop ML-based products. We also build products utilizing usage data to improve our customer’s experience. And that's just a sampling of projects from a ""typical"" week!
The Role:
We are looking for an experienced data scientist to join our team. You will work alongside engineers, product managers, sales managers and data scientists from across the organization to tackle complex business problems. You will be responsible for using our extensive data sources to provide both rapid solutions to urgent business questions as well as building products that serve internal/external clients. You'll be encouraged to use the right tool for the job and connect with a variety of partners.",4.1,"Bloomberg
4.1","New York, NY",10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,$87K - $177K (Glassdoor est.),"ABOUT FANDUEL GROUP
FanDuel Group is a world-class team of brands and products all built with one goal in mind — to give fans new and innovative ways to interact with their favorite games, sports, teams, and leagues. That's no easy task, which is why we're so dedicated to building a winning team. And make no mistake, we are here to win, but we believe in winning right. That means we'll never compromise when it comes to looking out for our teammates. From our many opportunities for professional development to our generous insurance and paid leave policies, we're committed to making sure our employees get as much out of FanDuel as we ask them to give.
FanDuel Group is based in New York, with offices in California, New Jersey, Florida, Oregon and Scotland. Our brands include:
FanDuel — A game-changing real-money fantasy sports app",4.0,"FanDuel
4.0","New York, NY",501 to 1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
Data Scientist I,-1,"No one makes cross-channel TV advertising as simple, transparent, or effective as Simulmedia. We're revolutionizing advertising by bringing best-in-class data, science, software and services to TV, streaming, and video games. We’re the only demand-side platform that delivers unparalleled reach, results, and measurement wherever audiences watch, stream, or play. For over a decade, we have helped marketers, agencies, publishers and studios build awareness, inspire action, and find untapped viewers across channels. And we’re just getting started.
The Opportunity
Asa* Data Scientist I,* you will work closely with other Scientists, Product Managers and Engineers to deliver best in class scientific models and algorithms deployed at scale. You will be part of a team building Simulmedia’s cross-channel TV product, and enabling the company to continue its growth in an exciting and dynamic market. You will spend lots of time doing exploratory data analysis, as well as collaborating with teammates to deliver top-notch forecasting models and optimization algorithms.",-1,Simulmedia,"New York, NY",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$111K - $241K (Glassdoor est.),"Los Gatos, California
Los Angeles, California
Data Science and Engineering
At Netflix, our mission is to entertain the world. We do this by connecting our members with an amazingly diverse catalog of stories from all over the globe. Our Editorial Creative team strives to accurately classify, tag, and create synopses for each title so our members can quickly find content they will enjoy. Effective execution of these tasks require a careful blend of art and science to authentically represent each title in a way that resonates with our members.

We are looking for a highly motivated Senior Data Scientist to unlock the power of data in this highly creative, yet data rich space. This is an opportunity for you to have direct influence on strategic decisions through technical and business thought partnership that will ultimately shape how titles are represented on our product.",4.2,"Netflix
4.2","Los Angeles, CA",5001 to 10000 Employees,1997,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
Data Scientist- Development Program,Employer Provided Salary:$85K - $113K,"The NSA Story The National Security Agency (NSA) exists to obtain insight into foreign adversaries' plans and intentions and protect our U.S. cybersecurity interests. We provide national security insights and threat warnings to government decision-makers and eradicate cybersecurity threats.
How You Can Contribute Are you ready to use your technical expertise to analyze large data sets to inform decision-makers against foreign threats? Data scientists at NSA tackle high priority, often lifesaving, foreign intelligence and cybsersecurity challenges by leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and use analysis skills to develop solutions to complex problems. The Data Science Development Program (DSDP) is a three-year opportunity to develop and enhance your data science skills for an NSA career. Participants experience the breadth of data science at NSA through six- to nine-month tours in a variety of diverse organizations, and collaborate with NSA's experts in the field of data science. DSDP participants will have the opportunity to attend technical conferences with experts from industry and academia; explore and share NSA's challenges and successes at weekly technical roundtables; and study data science in NSA-taught classes. NSA fosters an environment where participants will develop data science skills and contribute to NSA's highest priority mission challenges.
As a Data Scientist within the Development Program responsibilities include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations",3.5,"National Security Agency
3.5","Fort Meade, MD",Unknown,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
"Data Scientist, Marketing Analytics",$66K - $116K (Glassdoor est.),"At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Backed by top VC's, Noom has grown revenue 20X in just 2 years. To continue growing, we are seeking an exceptionally talented Data Scientist to work with our Growth Acquisition team.
We are looking for an experienced Data Scientist with an interest in marketing data science. You will be working closely with our Growth Acquisition team at the forefront of Computational Marketing, trying to solve the puzzle of building a brand while maximizing marketing efficiency. Through your insights and advancements, you will improve the efficiency of our $200M+ annual ad spend.
What you'll like about us
We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.",4.1,"Noom US
4.1","New York, NY",1001 to 5000 Employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
"Data Scientist, MediaGuard",$54K - $128K (Glassdoor est.),"At HUMAN, we know who’s real.
We are the global leader in bot mitigation. Founded in 2012 in a Brooklyn sci-fi bookstore we’ve grown to protect more than 200 enterprises—including the largest internet platforms—from bot attacks by verifying the humanity of over a trillion (that’s 12 zeroes!) online interactions every day. State-of-the-art bots look and act like humans when they click on ads, visit websites, fill out forms, take over accounts, and commit payment fraud. We stop them.

We hope you’ll want to join our mission to stop bots, disrupt the economics of cyber crime, and keep it human.

Detection@HUMANsec
The Detection team at HUMAN is the beating heart of our company - finding and stopping bots. We're a group of data professionals and security experts who build the algorithms that run behind the scenes analysing and decisioning on our vast number of daily events. We deploy advanced statistical and machine learning models that need to be flexible for different deployment scenarios and robust to a fraudster’s favourite tactics: evasion and deception.",2.9,"Human Security
2.9","New York, NY",51 to 200 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$69K - $128K (Glassdoor est.),"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
We are looking for innovative professionals to contribute towards the future of conversational AI, and to help shape our customer's experience using Watson Assistant. Candidates are responsible for successful delivery of data science solutions and services in a client consulting environment; experience in predictive modeling, optimization, and/or machine learning analytics techniques using tools/programming languages including SPSS, SAS, R, Python, Spark, etc. within a Hadoop-enabled environment. Define key business problems to be solved; formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions, test solutions and present to client. Enhance performance by applying advanced mathematical modeling, data analytics, optimization, and machine learning techniques.

Required Technical and Professional Expertise
Candidates MUST have 2+ years experience:

Preferred Technical and Professional Expertise
5+ years experience:

About Business UnitIBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBMAre you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementIBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work. In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to:


We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9","Baton Rouge, LA",10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD)
Data Scientist,$80K - $132K (Glassdoor est.),"Company
Federal Reserve Bank of St. Louis
Overview

The Federal Reserve Bank of St. Louis is looking for a Data Scientist for the Treasury Division's Forecasting and Cash Management Analytics Group. As a team member of this group, you will report to a Manager and provide analytical support through the development of quantitative forecast models, maintenance of a Long-term Fiscal Forecast and intraday account trends. The Treasury Division supports numerous U.S. Treasury applications including the Fiscal Projections System (FPS), a cash and debt forecasting system that assists U.S. Treasury's Office of Fiscal Projections (OFP) in estimating the Government's daily cash position, determining marketable borrowing requirements and ensuring total debt outstanding is within statutory limitations.
Full time
Regular
Yes
Information Technology
First (United States of America)",3.9,"Federal Reserve Bank of St. Louis
3.9","Saint Louis, MO",1001 to 5000 Employees,1913,Company - Private,Federal Agencies,Government,$1 to $2 billion (USD)
"Data Scientist, BotGuard",$56K - $133K (Glassdoor est.),"At HUMAN we are all about keeping it human. We are the global leader in bot mitigation. We protect more than 200 enterprises—including the largest internet platforms—from sophisticated bots by verifying the humanity of nearly one trillion online interactions every week. The most sophisticated bots look and act like humans when they click on ads, visit websites, fill out forms, take over accounts, and commit payment fraud. We stop them.
Founded in 2012 in a Brooklyn sci-fi bookstore, our Bot Mitigation Platform protects enterprises from the sophisticated bots that threaten them. It’s an ongoing war that we fight passionately every day. Join our mission to stop bots, disrupt the economics of cybercrime, and keep it human.
The Data Science team at HUMAN is building the algorithms that run behind the scenes and power our bot detection engine. We deploy state-of-the-art statistical and machine learning models at a massive scale that distinguish human activity from automated bots.
What you will do:",2.9,"Human Security
2.9","New York, NY",51 to 200 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Sustainable Finance Geospatial Data Scientist,$70K - $161K (Glassdoor est.),"Sustainable Finance Geospatial Data Scientist
Job Number:
3188879
POSTING DATE: Oct 5, 2021
PRIMARY LOCATION: Americas-United States of America-New York-New York
EDUCATION LEVEL: Master's Degree
JOB: Global Sustainable Finance
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Vice President
DESCRIPTION",4.0,"Morgan Stanley
4.0","New York, NY",10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Scientist - US Cards,$90K - $171K (Glassdoor est.),"The US Consumer Analytics (USCA) Decision Science Team develops statistical tools and tool-driven optimization strategies for NA Cards and Retail Bank marketing programs in order to increase Customer Centricity, aiming to increase customer satisfaction and revenue growth. Within USCA, the Acquisition (ACQ) modeling team builds and manages predictive analytics solutions for cards and retail bank account acquisition improvements.

Responsibilities:
Serve as data science expert to support US cards acquisition optimization and strategy analyses
Deliver incremental business benefits through advanced statistical and machine learning modeling for consumer behaviors
Translate data into consumer or customer behavioral insights to drive targeting and segmentation strategies, and communicate clearly and effectively to business partners and senior leaders all findings



Decision Management
Specialized Analytics (Data Science/Computational Statistics)
Full time",3.9,"Citi
3.9","New York, NY",10000+ Employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Associate Data Scientist,-1,"Job Title: Associate Data Scientist
Location: Atlanta / US Remote

WHY YOU'LL LOVE SALESLOFT:
Put Customers First. Team Over Self. Focus on Results. Bias Towards Action. Glass Half Full.
These are the values that define who we are, that have empowered our staggering growth, and could be instrumental to your career development
Headquartered in Atlanta, Georgia, with offices in San Francisco, New York, London, Indianapolis, and Guadalajara, Salesloft is growing rapidly and is looking for future Lofters to join our team. As a testament to our Organizational Health, Salesloft has been named by Forbes as one of America's Best Startup Employers in 2020, twice by Deloitte as a 'Fastest-Growing Technology Company in North America,' featured by The New York Times as a start-up on a path to a $1B valuation, and has been recognized as a '#1 Best Place to Work in Atlanta' three separate years. Salesloft is ranked #1 in the emerging category of Sales Engagement software and is on a mission to equip companies to maximize revenue by creating a fantastic buying experience.",4.6,"Salesloft
4.6",Georgia,201 to 500 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Data Scientist,$98K - $193K (Glassdoor est.),"About Datadog:
We're on a mission to build the best platform in the world for engineers to understand and scale their systems, applications, and teams. We operate at high scale—trillions of data points per day—allowing for seamless collaboration and problem-solving among Dev, Ops and Security teams globally for tens of thousands of companies. Our engineering culture values pragmatism, honesty, and simplicity to solve hard problems the right way.

Our Team:
We are building out a first-class Internal Analytics department composed of Data Engineers, Software Engineers, Data Analysts, and Data Scientists. If you’re excited to work on a fast-moving team using cutting-edge open-source technologies to collect, store, transform, analyze, and model data, we want to meet you.",4.1,"DataDog
4.1","New York, NY",1001 to 5000 Employees,2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Science Manager - Ecosystem,$82K - $183K (Glassdoor est.),"People love Discord because it connects them with people they care about - friends, family, and communities with common interests. To empower people to build genuine relationships and create belonging in their lives, Discord must provide a world-class experience across the many aspects of the service, from the trust &amp; safety of our users to quality of service &amp; application performance.&nbsp; At Discord, we believe Safety enables belonging. The Safety organization at Discord serves our community, moderators, and internal Discord teams - all with a goal of making Discord a safe place where people can find belonging. Discord is looking for a highly technical, hands-on, and mission-driven manager to to join and lead our Safety Data Science team. In this role, you will leverage your experience leading a world-class team to partner directly with our Safety organization (operating cross-functionally across Product, Engineering, Operations, Policy, and Data Platform) in order to set a vision for how data science can make Discord a safer place - by improving the efficacy and usage of our anti-abuse platform, deepening our quantitative understanding of safety, and driving strategic cross-functional decisions. This role reports directly into our Head of Ecosystems &amp; Servers Data Science. You Will: Partner closely with product, engineering, and business teams to understand feature adoption, proactively identify opportunities for improvement, and build robust scalable tools to empower decision-making at all levels of the company Create novel and interpretable metrics to provide insight into the health of the Discord app and use analytics, modeling, and experimentation to understand their impact on business goals&nbsp; Transform data into information - establish hypotheses, dig deep, and seek to understand root causes - to improve the effectiveness of our marketing efforts&nbsp; Own the vision and roadmap for the Safety Data Science team, supporting a key pillar of Discord's mission&nbsp; Build and mentor a world-class analytics team, expanding the impact of data at Discord&nbsp; In partnership with our Data leaders, inform architectural decisions, establish best practices, develop lean scalable processes, and contribute to the overall direction of the Data organization at Discord! You Have (not hard qualifications - if you're not sure, please apply!): 3+ years of leadership experience as a people manager, leading a team of 3+ data scientists. Ideally, your team would have had technical expertise covering at least two of the following: BI &amp; analytics, machine learning, and A/B experimentation&nbsp; Excellent skills in communicating to both technical and non-technical audiences, with an ability to explain complex concepts in easy-to-understand ways 6+ years of industry experience in applying machine learning and/or analytics techniques to answer vague and challenging business problems&nbsp; Proficient in Python/R or SQL (any dialect) for hands-on modeling and/or analysis Familiarity with A/B testing principles&nbsp; A collaborative attitude and natural curiosity&nbsp; Bonus Points: Experience with social media and/or safety aspects within digital consumer products Proficient in modern BI tooling (Chartio, Looker, Tableau, etc.), with an eye towards clear, rich visualizations and performance Experience with very large data sets and distributed computing Familiarity with Airflow, GCP, BigQuery Experience partnering with business teams in a data-driven culture Passion for Discord or online communities&nbsp; Our Benefits: Comprehensive medical insurance including Health, Dental, and Vision (Plus up to $20,000 for gender affirmation procedures) Mental health resources and quarterly wellness stipends 19+ paid holidays, 4 weeks of PTO, use-what-you-need sick days and volunteer time off Paid parental leave (plus fertility, adoption and other family planning benefits) Generous stipends for headphones, your remote work setup, and lunch on a daily basis (while we're all remote) Flexible long-term work options (remote and hybrid) A diverse slate of Employee Resource Groups Plus commuter contributions and other perks for office-based employees&nbsp; About Us Discord is a voice, video and text app that helps friends and communities come together to hang out and explore their interests — from artists and activists, to study groups, sneakerheads, plant parents, and more. With 150 million monthly users across 19 million active communities, called servers, Discord has grown to become one of the most popular communications services in the world. Discord was built without selling ads or user data and instead, offers a premium subscription called Nitro that gives users special perks like higher quality streams and fun customizations. In a world of polarization, social curation, and loneliness, Discord is working toward an inclusive world where no one feels like an outsider. We believe in the value of genuine human connection, which can so easily be lost online. So we’re building a space where everyone can find belonging from the inside out. If this strikes a chord with you, come build belonging with us! #LI-GB1",4.6,"Discord
4.6","San Francisco, CA",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Geospatial Data Scientist,Employer Provided Salary:$155K - $165K,"Mid - Senior Geospatial Data Scientist
EpochGeo is looking for a mid to senior level Geospatial Data Scientist to support one of the most innovative, exciting, and growing offices that is rooted in geospatial automated analytic projects in the national security space.
Are you a technical geographer who loves to work with data, find patterns in it, and then turn it into actionable intelligence? Are you a data scientist who loves to draw out insights from data, and work with analysts and engineers to turn those insights into automated workflows? If so, please reach out to us at EpochGeo to chat.
Location-based big data can be overwhelming, inaccessible, and noisy. EpochGeo is a data services firm specializing in supporting the full spectrum data cycle: beginning with scalable data storage and ending in producing impactful analytics. Our developers, analysts, and data scientists have a proven track record applying open-source innovative technology, data science, and actionable analytics to inform customers’ data driven decisions.",-1,EpochGeo,"Washington, DC",-1,-1,-1,-1,-1,-1
Sustainable Finance Geospatial Data Scientist,$70K - $161K (Glassdoor est.),"Sustainable Finance Geospatial Data Scientist
3188879
POSTING DATE: Oct 5, 2021
PRIMARY LOCATION: Americas-United States of America-New York-New York
EDUCATION LEVEL: Master's Degree
JOB: Global Sustainable Finance
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Vice President
DESCRIPTION",4.0,"Morgan Stanley
4.0","New York, NY",10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
